"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"2764","76007-1","Iron Man: Malibu Mansion Attack",2013,"Marvel Super Heroes","Licensed","Iron Man 3",756,364,"38 x 26 x 5.5 cm",5434,5,6,"Box","Retail",1853,48.54,55,39.99,8.55,21.38,5
"2765","75007-1","Republic Assault Ship & Planet Coruscant",2013,"Star Wars","Licensed","Planet Set",150,74,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",1861,14.91,26,9.99,4.92,49.25,5
"2766","70743-1","Airjitzu Morro Flyer",2015,"Ninjago","Action/Adventure","Airjitzu",125,46,"23.5 x 28 x 8.4 cm",5527.2,1,2,"Box with backing card","Retail",294,10.79,8,9.99,0.799999999999999,8.01,3
"2767","75083-1","AT-DP",2015,"Star Wars","Licensed","Rebels",753,500,"26 x 38 x 7 cm",6916,4,2,"Box","Retail",2685,63.05,52,49.99,13.06,26.13,3
"2768","7291-1","Street Rebel",2012,"Creator","Basic","no subtheme",504,196,"28 x 26 x 4.2 cm",3057.6,0,8,"Box","Retail",448,21.57,28,19.99,1.58,7.9,6
"2769","75188-1","Resistance Bomber",2017,"Star Wars","Licensed","The Last Jedi",1415,778,"48 x 37.8 x 7.1 cm",12882.24,5,2,"Box","Retail",1899,78.25,47,109.99,-31.74,-28.86,1
"2770","7164-1","Preston Stormer",2010,"HERO Factory","Constraction","no subtheme",137,17,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",374,28.45,2,7.99,20.46,256.07,8
"2771","75871-1","Ford Mustang GT",2016,"Speed Champions","Licensed","Ford",200,185,"19 x 14 x 6 cm",1596,1,2,"Box","Retail",1102,19.74,41,14.99,4.75,31.69,2
"2772","75008-1","TIE Bomber & Asteroid Field",2013,"Star Wars","Licensed","Planet Set",148,60,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",1841,13.8,45,9.99,3.81,38.14,5
"2773","70744-1","Airjitzu Wrayth Flyer",2015,"Ninjago","Action/Adventure","Airjitzu",126,43,"24 x 27.7 x 8.3 cm",5517.84,1,2,"Box with backing card","Retail",291,8.77,19,9.99,-1.22,-12.21,3
"2774","76008-1","Iron Man vs. The Mandarin: Ultimate Showdown",2013,"Marvel Super Heroes","Licensed","Iron Man 3",125,91,"15.5 x 14 x 4.5 cm",976.5,2,2,"Box","Retail",1337,19.18,56,12.99,6.19,47.65,5
"2775","75189-1","First Order Heavy Assault Walker",2017,"Star Wars","Licensed","The Last Jedi",1840,1376,"48 x 37.8 x 9.4 cm",17055.36,5,2,"Box","Retail",2094,104.7,96,149.99,-45.29,-30.2,1
"2776","75084-1","Wookiee Gunship",2015,"Star Wars","Licensed","Rebels",971,570,"47.5 x 28 x 6 cm",7980,4,4,"Box","Retail",2407,65.21,83,69.99,-4.78,-6.83,3
"2777","7292-1","Propeller Adventures",2012,"Creator","Basic","no subtheme",462,241,"28.1 x 25.9 x 4.3 cm",3129.497,0,8,"Box","Retail",535,25.57,21,19.99,5.58,27.91,6
