"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"463","30132-1","{Captain Jack Sparrow}",2011,"Pirates of the Caribbean","Licensed","no subtheme",6.3,4,"13.9 x 13.8 x 1.8 cm",345.276,1,0,"Polybag","Promotional",1029,13.07,28,2.99,10.08,337.12,7
"464","30025-1","Clown Fish",2011,"Creator","Basic","no subtheme",39,59,"16.5 x 17.4 x 1 cm",287.1,0,2,"Polybag","Promotional",480,8.17,20,3.99,4.18,104.76,7
"465","10220-1","Volkswagen T1 Camper Van",2011,"Advanced Models","Model making","Vehicles",1757,1332,"47.6 x 37.4 x 6.3 cm",11215.512,0,10,"Box","Retail - limited",3133,86.3,334,119.99,-33.69,-28.08,7
"466","31026-1","Bike Shop & Cafe",2014,"Creator","Basic","no subtheme",1744,1023,"48 x 38 x 7 cm",12768,3,16,"Box","{Not specified}",3299,83.85,107,89.99,-6.14,-6.82,4
"467","21106-1","The Nether",2013,"Minecraft","Licensed","Micro World",374,469,"12 x 12 x 14 cm",2016,3,6,"Box","{Not specified}",827,33.73,80,34.99,-1.26000000000001,-3.6,5
"468","10733-1","Mater's Junkyard",2017,"Juniors","Junior","Cars 3",131,62,"15.6 x 14 x 4.3 cm",939.12,1,2,"Box","Retail",201,8.07,47,9.99,-1.92,-19.22,1
"469","3412-1","Point Shooting",2000,"Sports","Modern day","Football",81,24,"14 x 14 x 3.5 cm",686,1,2,"Box","Retail",175,15,2,5,10,200,18
"470","10116-1","Heart Accessories",2004,"Clikits","Girls","no subtheme",16,50,"13.8 x 14 x 1 cm",193.2,0,0,"{Not specified}","{Not specified}",22,6.66,3,5,1.66,33.2,14
"471","10221-1","Super Star Destroyer",2011,"Star Wars","Licensed","Ultimate Collector Series",6965,3152,"58 x 48.5 x 18.5 cm",52040.5,5,3,"Box","LEGO exclusive",7543,756.38,123,399.99,356.39,89.1,7
"472","31027-1","Blue Racer",2015,"Creator","Basic","no subtheme",66,67,"12 x 9 x 4.5 cm",486,0,2,"Box","Retail",269,5.7,29,4.99,0.71,14.23,3
"473","10734-1","Demolition Site",2017,"Juniors","Junior","City",542,175,"35.4 x 19.1 x 7 cm",4732.98,3,2,"Box","Retail",265,25.5,27,29.99,-4.49,-14.97,1
"474","21107-1","The End",2014,"Minecraft","Licensed","Micro World",348,440,"12 x 12 x 14 cm",2016,4,4,"Box","Retail - limited",759,37.64,91,34.99,2.65,7.57,4
"475","10117-1","Daisy Accessories",2004,"Clikits","Girls","no subtheme",20,50,"13.8 x 14 x 1 cm",193.2,0,0,"{Not specified}","{Not specified}",25,5.87,6,5,0.87,17.4,14
"476","2191-1","Furno 3.0",2011,"HERO Factory","Constraction","no subtheme",156.1,28,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",355,37.94,2,7.99,29.95,374.84,7
"477","3535-1","Skateboard Street Park",2003,"Sports","Modern day","Gravity Games",147,69,"14.2 x 14.2 x 4.8 cm",967.872,1,1,"Box","Retail",335,34.99,6,10,24.99,249.9,15
"478","10222-1","Winter Village Post Office",2011,"Advanced Models","Model making","Winter Village",989,822,"48 x 28.3 x 6 cm",8150.4,7,7,"Box","Retail - limited",4092,259.73,39,69.99,189.74,271.1,7
"479","31028-1","Sea Plane",2015,"Creator","Basic","no subtheme",73,53,"12 x 9 x 4.5 cm",486,0,2,"Box","Retail",350,5.3,29,4.99,0.31,6.21,3
"480","21108-1","Ghostbusters Ecto-1",2014,"Ideas","Miscellaneous","Licensed",691,508,"35 x 19 x 6 cm",3990,4,4,"Box","Retail - limited",2851,66.04,365,49.99,16.05,32.11,4
"481","10735-1","Police Truck Chase",2017,"Juniors","Junior","City",275,90,"26.2 x 19.1 x 4.6 cm",2301.932,2,2,"Box","Retail",156,15.79,21,19.99,-4.2,-21.01,1
"482","3416-1","Women's Team",2001,"Sports","Modern day","Football",242,62,"19 x 14.2 x 7 cm",1888.6,6,1,"Box","Retail - limited",163,24.16,7,9.95,14.21,142.81,17
"483","30313-1","Garbage Truck",2015,"City","Modern day","Traffic",34,48,"17.5 x 16.5 x 1.7 cm",490.875,1,2,"Polybag","Retail - limited",1060,4.2,126,3.49,0.71,20.34,3
"484","10118-1","Star Accessories",2004,"Clikits","Girls","no subtheme",18,50,"13.8 x 14.2 x 1 cm",195.96,0,0,"{Not specified}","{Not specified}",28,11.92,4,5,6.92,138.4,14
"485","3536-1","Snowboard Big Air Comp",2003,"Sports","Modern day","Gravity Games",315,82,"19 x 19 x 9.5 cm",3429.5,1,1,"Box","Retail",365,48,6,15,33,220,15
"486","2192-1","Drilldozer",2011,"HERO Factory","Constraction","no subtheme",220,61,"14.1 x 26.2 x 6.1 cm",2253.462,0,2,"{Not specified}","{Not specified}",395,29.27,4,12.99,16.28,125.33,7
"487","30028-1","Holiday Wreath",2011,"Creator","Basic","Seasonal",34,50,"17.2 x 16.6 x 1.5 cm",428.28,0,3,"Polybag","Promotional",561,10.51,18,4.99,5.52,110.62,7
"488","10223-1","Kingdoms Joust",2012,"Castle","Historical","Kingdoms",1978,1575,"57.9 x 37.2 x 8 cm",17231.04,9,4,"Box","Retail - limited",2795,148.18,99,119.99,28.19,23.49,6
"489","3300000-1","The Brick Apple",2010,"Promotional","Miscellaneous","LEGO brand store opening set",165,133,"27 x 27 x 2 cm",1458,0,1,"Polybag","LEGO exclusive",321,31.55,25,9.99,21.56,215.82,8
"490","31029-1","Cargo Heli",2015,"Creator","Basic","no subtheme",187,132,"19 x 14 x 4.5 cm",1197,0,6,"Box","Retail",324,11.26,25,9.99,1.27,12.71,3
"491","21109-1","Exo Suit",2014,"Ideas","Miscellaneous","no subtheme",380,321,"26 x 19 x 4.5 cm",2223,2,1,"Box","Retail - limited",1505,31.72,333,34.99,-3.27,-9.35,4
"492","10736-1","Anna and Elsa's Frozen Playground",2017,"Juniors","Junior","Disney Princess",321,94,"26.2 x 19.1 x 6.1 cm",3052.562,2,2,"Box","Retail",279,16.72,27,24.99,-8.27,-33.09,1
"493","10580-1","Deluxe Box of Fun",2014,"Duplo","Pre-school","no subtheme",1476,95,"37 x 26.2 x 18 cm",17449.2,2,3,"Box","Retail",49,45,9,49.99,-4.99,-9.98,4
"494","2193-1","Jetbug",2011,"HERO Factory","Constraction","no subtheme",220,63,"14.1 x 26.2 x 6.1 cm",2253.462,0,2,"{Not specified}","{Not specified}",341,24.32,7,12.99,11.33,87.22,7
"495","3537-1","Skateboard Vert Park Challenge",2003,"Sports","Modern day","Gravity Games",410,88,"28.5 x 19 x 7 cm",3790.5,2,1,"Box","Retail",358,71.19,5,20,51.19,255.95,15
"496","30314-1","Go-Kart Racer",2015,"City","Modern day","Traffic",35,45,"19 x 17 x 1 cm",323,1,2,"Polybag","Retail - limited",655,4.1,100,4.7,-0.600000000000001,-12.77,3
"497","10123-1","Cloud City",2003,"Star Wars","Licensed","Episode V",1904,698,"57.4 x 38.4 x 7 cm",15429.12,7,2,"Box","LEGO exclusive",4656,618.78,18,100,518.78,518.78,15
"498","30029-1","Pudsey Bear",2011,"Creator","Basic","no subtheme",62,95,"17 x 16.6 x 2 cm",564.4,0,1,"Polybag","Promotional",323,8.77,19,5.35,3.42,63.93,7
"499","10224-1","Town Hall",2012,"Advanced Models","Model making","Modular Buildings",3825,2766,"48 x 58 x 12.5 cm",34800,8,6,"Box","Retail - limited",7203,485.23,140,199.99,285.24,142.63,6
"500","3300001-1","Brickley",2011,"Promotional","Miscellaneous","LEGO brand stores",201,197,"19 x 6.8 x 14 cm",1808.8,0,1,"Box","LEGO exclusive",432,42.78,5,14.99,27.79,185.39,7
"501","20200-1","Space Designer",2011,"Master Builder Academy","Miscellaneous","no subtheme",856,178,"27.1 x 28.6 x 6.3 cm",4882.878,1,1,"Box","LEGO exclusive",444,29.94,17,29.99,-0.0499999999999972,-0.17,7
"502","10737-1","Batman vs. Mr. Freeze",2017,"Juniors","Junior","DC Comics Super Heroes",174,63,"19.1 x 14.1 x 6.1 cm",1642.791,2,2,"Box","Retail",409,10.65,37,14.99,-4.34,-28.95,1
"503","10581-1","Ducks",2015,"Duplo","Pre-school","Forest Animals",166,13,"19 x 14 x 7 cm",1862,1,0,"Box","Retail",114,10.76,6,9.99,0.77,7.71,3
"504","3420-1","Championship Challenge II",2002,"Sports","Modern day","Football",1123,388,"48 x 28.5 x 7 cm",9576,12,6,"Box","Retail",203,146.23,9,50,96.23,192.46,16
"505","30150-1","Racing Car",2012,"City","Modern day","Traffic",28,37,"13.7 x 13.7 x 1.3 cm",243.997,1,2,"Polybag","Retail - limited",678,3.96,72,4.99,-1.03,-20.64,6
"506","30315-1","Space Utility Vehicle",2015,"City","Modern day","Space",38,37,"17 x 19 x 1.6 cm",516.8,1,2,"Polybag","Retail - limited",663,5.06,79,3.99,1.07,26.82,3
"507","10124-1","Wright Flyer",2003,"Advanced Models","Model making","Aircraft",1390,670,"48 x 39 x 7 cm",13104,0,1,"Box","LEGO exclusive",1611,371.37,9,60,311.37,518.95,15
"508","2194-1","Nitroblast",2011,"HERO Factory","Constraction","no subtheme",220,57,"14.1 x 26.2 x 6.1 cm",2253.462,0,2,"{Not specified}","{Not specified}",366,28.9,6,12.99,15.91,122.48,7
"509","3538-1","Snowboard Boarder Cross Race",2003,"Sports","Modern day","Gravity Games",760,195,"38.2 x 28.4 x 6.8 cm",7377.184,2,1,"Box","Retail",420,98.6,6,30,68.6,228.67,15
"510","10225-1","R2-D2",2012,"Star Wars","Licensed","Ultimate Collector Series",2590,2127,"38 x 58 x 10 cm",22040,1,6,"Box","LEGO exclusive",4757,341.77,132,179.99,161.78,89.88,6
"511","3061-1","City Park Cafe",2012,"Friends","Girls","no subtheme",566,222,"36.8 x 26 x 4.8 cm",4592.64,2,2,"Box","Retail",894,43.32,30,34.99,8.33,23.81,6
"512","31030-1","Red Go-Kart",2015,"Creator","Basic","no subtheme",190,106,"19 x 14 x 4.5 cm",1197,0,6,"Box","Retail",530,10.65,22,9.99,0.66,6.61,3
"513","1121-1","Propellors, Wheels and Rotor Unit",1977,"Service Packs","Miscellaneous","no subtheme",13,15,"9.7 x 15 x 1.3 cm",189.15,0,0,"Polybag","LEGO exclusive",40,9.13,8,13,-3.87,-29.77,41
"514","21110-1","Research Institute",2014,"Ideas","Miscellaneous","no subtheme",242,165,"26 x 14 x 5 cm",1820,3,2,"Box","Retail - limited",2234,42.49,187,19.99,22.5,112.56,4
"515","10738-1","Snow White's Forest Cottage",2017,"Juniors","Junior","Disney Princess",151,67,"19.1 x 14.1 x 4.6 cm",1238.826,1,2,"Box","Retail",252,13.18,34,14.99,-1.81,-12.07,1
"516","10128-1","Train Level Crossing",2003,"World City","Modern day","Trains",945,327,"38.2 x 28.5 x 7 cm",7620.9,2,1,"Box","LEGO exclusive",1457,205.16,19,50,155.16,310.32,15
"517","10226-1","Sopwith Camel",2012,"Advanced Models","Model making","Aircraft",1420,883,"47 x 37 x 6.5 cm",11303.5,0,4,"Box","Retail - limited",2508,143.89,134,99.99,43.9,43.9,6
"518","31031-1","Rainforest Animals",2015,"Creator","Basic","no subtheme",288,215,"26 x 14 x 4.7 cm",1710.8,0,6,"Box","Retail",875,22.33,37,14.99,7.34,48.97,3
"519","2111-1","Kai",2011,"Ninjago","Action/Adventure","Spinners",100,19,"17.2 x 23 x 2.8 cm",1107.68,1,2,"Blister pack","Retail",629,27.61,3,9.99,17.62,176.38,7
"520","10739-1","Shark Attack",2017,"Juniors","Junior","Ninjago",219,108,"20.5 x 19.1 x 4.6 cm",1801.13,3,2,"Box","Retail",208,14.44,32,19.99,-5.55,-27.76,1
"521","10583-1","Fishing Trip",2015,"Duplo","Pre-school","Forest Animals",612,32,"28 x 26 x 9.5 cm",6916,2,2,"Box","Retail",115,17.82,12,24.99,-7.17,-28.69,3
"522","30151-1","Mining Dozer",2012,"City","Modern day","Mining",36,32,"17 x 17 x 3.5 cm",1011.5,1,2,"Polybag","Retail - limited",1057,6.31,34,3.99,2.32,58.15,6
"523","3677-1","Red Cargo Train",2011,"City","Modern day","Trains",2605,831,"57.5 x 37.5 x 9.8 cm",21131.25,4,14,"Box","Retail - limited",2602,209.2,43,159.99,49.21,30.76,7
"524","10129-1","Rebel Snowspeeder",2003,"Star Wars","Licensed","Ultimate Collector Series",2555,1457,"57.5 x 38.3 x 9.3 cm",20480.925,0,1,"Box","Retail - limited",4284,955.35,9,130,825.35,634.88,15
"525","10227-1","B-Wing Starfighter",2012,"Star Wars","Licensed","Ultimate Collector Series",2796,1487,"58 x 38 x 13 cm",28652,0,6,"Box","LEGO exclusive",4771,318.39,65,199.99,118.4,59.2,6
"526","30032-1","World Race Buggy",2010,"World Racers","Racing","no subtheme",29.7,35,"17.5 x 17 x 1 cm",297.5,1,2,"Polybag","Retail - limited",329,6,16,3.99,2.01,50.38,8
"527","10740-1","Fire Patrol Suitcase",2017,"Juniors","Junior","City",744,110,"28.5 x 26.2 x 6.4 cm",4778.88,2,2,"Box","Retail",128,17.16,26,19.99,-2.83,-14.16,1
"528","21113-1","The Cave",2014,"Minecraft","Licensed","Minifig-scale",418,249,"26 x 19.5 x 7 cm",3549,2,2,"Box","Retail - limited",752,22.5,50,19.99,2.51,12.56,4
"529","31032-1","Red Creatures",2015,"Creator","Basic","no subtheme",293,221,"26 x 14 x 4.5 cm",1638,0,4,"Box","Retail",876,38.23,11,14.99,23.24,155.04,3
"530","30152-1","Mining Quad",2012,"City","Modern day","Mining",32,40,"13.7 x 13.7 x 1.5 cm",281.535,1,2,"Polybag","Retail - limited",962,4.59,66,4.99,-0.4,-8.02,6
"531","10228-1","Haunted House",2012,"Monster Fighters","Action/Adventure","no subtheme",2880,2064,"58 x 47.5 x 8.5 cm",23417.5,6,6,"Box","LEGO exclusive",4759,351.73,156,179.99,171.74,95.42,6
"532","3063-1","Heartlake Flying Club",2012,"Friends","Girls","no subtheme",472,195,"38.2 x 26.2 x 5.65 cm",5654.746,1,2,"Box","Retail",677,25.75,22,19.99,5.76,28.81,6
"533","3300014-1","Christmas Set",2012,"Seasonal","Miscellaneous","Christmas",156,109,"19 x 14 x 4.5 cm",1197,4,1,"Box","LEGO exclusive",1697,45.49,29,14.99,30.5,203.47,6
"534","31033-1","Vehicle Transporter",2015,"Creator","Basic","no subtheme",402,264,"26.2 x 19.1 x 6.1 cm",3052.562,0,8,"Box","Retail",488,25.13,12,24.99,0.140000000000001,0.56,3
"535","21114-1","The Farm",2014,"Minecraft","Licensed","Minifig-scale",475,262,"35 x 19 x 5.7 cm",3790.5,2,2,"Box","Retail - limited",863,31.22,36,29.99,1.23,4.1,4
"536","10742-1","Willy's Butte Speed Training",2017,"Juniors","Junior","Cars 3",254,95,"20.5 x 19.1 x 6.1 cm",2388.455,2,2,"Box","Retail",194,13.28,49,19.99,-6.71,-33.57,1
"537","10585-1","Mom and Baby",2015,"Duplo","Pre-school","no subtheme",169,13,"19 x 14 x 6 cm",1596,2,0,"Box","Retail",62,11.3,4,9.99,1.31,13.11,3
"538","30160-1","Batman Jetski",2012,"DC Comics Super Heroes","Licensed","Batman",34,40,"16.8 x 16.8 x 1.2 cm",338.688,1,2,"Polybag","Retail - limited",1347,10.48,86,4.99,5.49,110.02,6
"539","10229-1","Winter Village Cottage",2012,"Advanced Models","Model making","Winter Village",1785,1490,"47.8 x 37.5 x 6.8 cm",12189,8,4,"Box","Retail - limited",4010,216.74,49,99.99,116.75,116.76,6
"540","10131-1","TIE Fighter Collection",2004,"Star Wars","Licensed","Legends",1703,682,"57.7 x 38.3 x 9.1 cm",20110.181,4,1,"Box","{Not specified}",2946,276.25,16,70,206.25,294.64,14
"541","3065-1","Olivia's Tree House",2012,"Friends","Girls","no subtheme",382,191,"35.4 x 19.1 x 5.9 cm",3989.226,1,2,"Box","Retail",831,37.7,20,19.99,17.71,88.59,6
"542","10743-1","Smokey's Garage",2017,"Juniors","Junior","Cars 3",306,116,"26.2 x 19.1 x 4.6 cm",2301.932,3,2,"Box","Retail",193,19.97,43,19.99,-0.0199999999999996,-0.1,1
"543","31034-1","Future Flyer",2015,"Creator","Basic","no subtheme",394,237,"26 x 19 x 6 cm",2964,0,6,"Box","Retail",682,35.52,8,24.99,10.53,42.14,3
"544","21115-1","The First Night",2014,"Minecraft","Licensed","Minifig-scale",854,408,"28 x 26 x 9.5 cm",6916,2,2,"Box","Retail - limited",903,49.28,20,39.99,9.29,23.23,4
"545","10586-1","Ice Cream Truck",2015,"Duplo","Pre-school","no subtheme",322,11,"20.5 x 19 x 9 cm",3505.5,2,0,"Box","Retail",51,10.31,18,14.99,-4.68,-31.22,3
"546","30161-1","Batmobile",2012,"DC Comics Super Heroes","Licensed","Batman",33,45,"17.3 x 16.8 x 1.2 cm",348.768,0,2,"Polybag","Promotional",1052,8.02,52,4,4.02,100.5,6
"547","3828-1","Air Temple",2006,"Avatar The Last Airbender","Licensed","no subtheme",695,400,"38 x 28.5 x 4.7 cm",5090.1,4,2,"Box","Retail",896,287.65,10,30,257.65,858.83,12
"548","10230-1","Mini Modulars",2012,"Advanced Models","Model making","no subtheme",995,1356,"38 x 26 x 9.5 cm",9386,0,3,"Box","Retail - limited",2942,150.82,94,79.99,70.83,88.55,6
"549","40120-1","Valentine's Day Dinner",2015,"Seasonal","Miscellaneous","Valentine's Day",132,114,"14 x 12 x 6 cm",1008,2,2,"Box","LEGO exclusive",1368,16.46,103,9.99,6.47,64.76,3
"550","31035-1","Beach Hut",2015,"Creator","Basic","no subtheme",592,286,"35.4 x 19.1 x 5.9 cm",3989.226,2,8,"Box","Retail",1772,22.19,71,29.99,-7.8,-26.01,3
"551","10744-1","Thunder Hollow Crazy 8 Race",2017,"Juniors","Junior","Cars 3",480,191,"28.2 x 26.2 x 5.9 cm",4359.156,4,2,"Box","Retail",209,30.05,44,34.99,-4.94,-14.12,1
"552","21116-1","Crafting Box",2014,"Minecraft","Licensed","Minifig-scale",1045,518,"38 x 26 x 9.5 cm",9386,2,6,"Box","Retail - limited",867,56.73,32,49.99,6.73999999999999,13.48,4
"553","3425-1","US National Team Cup Edition Set",2002,"Sports","Modern day","Football",1834,548,"47.9 x 38.1 x 9.5 cm",17337.405,22,2,"Box","Retail - limited",224,200,1,90,110,122.22,16
"554","10231-1","Shuttle Expedition",2011,"Advanced Models","Model making","Space",2020,1230,"37.3 x 57.8 x 8 cm",17247.52,3,6,"Box","LEGO exclusive",3055,368.67,24,99.99,268.68,268.71,7
"555","40001-1","Santa Claus",2009,"Seasonal","Miscellaneous","Christmas",38,42,"17.4 x 16.4 x 1.5 cm",428.04,0,1,"Polybag","LEGO exclusive",187,13.95,6,4.99,8.96,179.56,9
"556","3548-1","Slam Dunk Trainer",2003,"Sports","Modern day","Basketball",46,19,"14.4 x 9.5 x 3.8 cm",519.84,1,2,"Box","Retail",160,9.71,9,4,5.71,142.75,15
"557","4012-1","Wave Cops",1996,"Boats","Modern day","no subtheme",429,99,"29 x 19 x 6 cm",3306,2,1,"Box","Retail",518,74.25,1,20,54.25,271.25,22
"558","10745-1","Florida 500 Final Race",2017,"Juniors","Junior","Cars 3",734,266,"38.2 x 26.2 x 7.1 cm",7105.964,5,4,"Box","Retail",221,33.83,42,49.99,-16.16,-32.33,1
"559","31036-1","Toy & Grocery Shop",2015,"Creator","Basic","no subtheme",788,466,"38 x 26 x 5.5 cm",5434,2,6,"Box","Retail",2113,36.12,90,39.99,-3.87,-9.68,3
"560","21117-1","The Ender Dragon",2014,"Minecraft","Licensed","Minifig-scale",960,634,"48 x 28 x 7.2 cm",9676.8,4,4,"Box","Retail - limited",927,103.47,16,69.99,33.48,47.84,4
"561","2231-1","Waspix",2011,"HERO Factory","Constraction","no subtheme",205.3,48,"14.1 x 26.2 x 6.1 cm",2253.462,0,1,"{Not specified}","{Not specified}",376,29.44,8,12.99,16.45,126.64,7
"562","10232-1","Palace Cinema",2013,"Advanced Models","Model making","Modular Buildings",2770,2196,"58 x 48 x 9 cm",25056,6,12,"Box","Retail - limited",5285,166.2,276,149.99,16.21,10.81,5
"563","3830-1","The Bikini Bottom Express",2008,"SpongeBob SquarePants","Licensed","no subtheme",411,210,"28.5 x 28.5 x 4.5 cm",3655.125,3,1,"Box","Retail",835,106.73,9,19.99,86.74,433.92,10
"564","30163-1","Thor and the Cosmic Cube",2012,"Marvel Super Heroes","Licensed","Avengers",22,25,"17 x 16 x 1.5 cm",408,1,2,"Polybag","Promotional",1455,8.78,65,4.99,3.79,75.95,6
"565","1891-1","Four Set Value Pack",1992,"Assorted","Miscellaneous","Bonus/Value Pack",237,160,"29 x 21.4 x 4.6 cm",2854.76,0,0,"{Not specified}","{Not specified}",124,100,0,12,88,733.33,26
"566","40121-1","Painting Easter Eggs",2015,"Seasonal","Miscellaneous","Easter",144,153,"14 x 12 x 6 cm",1008,2,2,"Box","LEGO exclusive",1195,16.19,113,9.99,6.2,62.06,3
"567","10746-1","Mia's Farm Suitcase",2017,"Juniors","Junior","Friends",741,100,"28.5 x 26.2 x 6.4 cm",4778.88,1,2,"Other","Retail",114,14.65,29,19.99,-5.34,-26.71,1
"568","3549-1","Practice Shooting",2003,"Sports","Modern day","Basketball",44,17,"9.4 x 14 x 3.7 cm",486.92,1,2,"Box","Retail",146,16.4,11,4,12.4,310,15
"569","1128-1","Santa on Skis",1999,"Seasonal","Miscellaneous","Christmas",34,21,"7 x 9.4 x 4.6 cm",302.68,0,1,"{Not specified}","{Not specified}",123,6.14,7,14,-7.86,-56.14,19
"570","31037-1","Adventure Vehicles",2015,"Creator","Basic","no subtheme",445,282,"26 x 19 x 6 cm",2964,0,6,"Box","Retail",698,17.65,49,24.99,-7.34,-29.37,3
"571","10591-1","Fire Boat",2015,"Duplo","Pre-school","Fire",381,19,"26 x 19 x 9 cm",4446,1,0,"Box","Retail",43,12.4,9,14.99,-2.59,-17.28,3
"572","21118-1","The Mine",2014,"Minecraft","Licensed","Minifig-scale",1730,922,"48 x 34.5 x 9.2 cm",15235.2,4,4,"Box","Retail - limited",1133,151.94,35,109.99,41.95,38.14,4
"573","2232-1","Raw-Jaw",2011,"HERO Factory","Constraction","no subtheme",202.5,52,"14.1 x 26.2 x 6.1 cm",2253.462,0,1,"{Not specified}","{Not specified}",425,33.82,4,12.99,20.83,160.35,7
"574","10233-1","Horizon Express",2013,"Advanced Models","Model making","Trains",1810,1351,"53.7 x 27.7 x 8.7 cm",12941.163,6,6,"Box","Retail - limited",3306,201,112,129.99,71.01,54.63,5
"575","3427-1","NBA Slam Dunk",2003,"Sports","Modern day","Basketball",141,53,"14.3 x 14.3 x 5.8 cm",1186.042,1,4,"Box","Retail",183,17.91,7,8,9.91,123.88,15
"576","3831-1","Rocket Ride",2008,"SpongeBob SquarePants","Licensed","no subtheme",606,279,"38 x 28.5 x 5.7 cm",6173.1,3,4,"Box","Retail",827,110.19,12,29.99,80.2,267.42,10
"577","40122-1","Trick or Treat Halloween Set",2015,"Seasonal","Miscellaneous","Halloween",147,133,"14 x 12 x 6 cm",1008,2,2,"Box","LEGO exclusive",961,18.72,78,9.99,8.73,87.39,3
"578","3550-1","Jump and Shoot",2003,"Sports","Modern day","Basketball",44,17,"14.4 x 9.5 x 3.8 cm",519.84,1,2,"Box","Retail",146,13.94,9,4,9.94,248.5,15
"579","10747-1","Andrea and Stephanie's Beach Holiday",2017,"Juniors","Junior","Friends",428,143,"35.4 x 19.1 x 5.9 cm",3989.226,2,2,"Box","Retail",146,20.49,26,29.99,-9.5,-31.68,1
"580","31038-1","Changing Seasons",2015,"Creator","Basic","no subtheme",1086,536,"48 x 28 x 6 cm",8064,2,6,"Box","Retail",2011,44.4,107,49.99,-5.59,-11.18,3
"581","21119-1","The Dungeon",2015,"Minecraft","Licensed","Minifig-scale",410,219,"26 x 19 x 6 cm",2964,3,2,"Box","Retail",669,22,24,19.99,2.01,10.06,3
"582","10234-1","Sydney Opera House",2013,"Advanced Models","Model making","Buildings",5670,2989,"58 x 47.5 x 17 cm",46835,0,10,"Box","Retail - limited",3446,325.04,180,319.99,5.05000000000001,1.58,5
"583","2233-1","Fangz",2011,"HERO Factory","Constraction","no subtheme",138.5,55,"14.1 x 26.2 x 6.1 cm",2253.462,0,2,"{Not specified}","{Not specified}",399,56.19,5,12.99,43.2,332.56,7
"584","3428-1","One vs One Action",2003,"Sports","Modern day","Basketball",182,39,"19 x 14.3 x 5.8 cm",1575.86,2,4,"Box","Retail",173,27.5,7,10,17.5,175,15
"585","40004-1","Heart",2010,"Seasonal","Miscellaneous","Valentine's Day",42,26,"17 x 17 x 0.5 cm",144.5,0,1,"Polybag","LEGO exclusive",297,21.42,8,4.99,16.43,329.26,8
"586","40123-1","Thanksgiving Feast",2015,"Seasonal","Miscellaneous","Thanksgiving",172,158,"14 x 12 x 6 cm",1008,2,2,"Box","LEGO exclusive",861,18,93,9.99,8.01,80.18,3
"587","31039-1","Blue Power Jet",2015,"Creator","Basic","no subtheme",1233,608,"54 x 28 x 6 cm",9072,0,2,"Box","Retail",1218,56.44,52,69.99,-13.55,-19.36,3
"588","41005-1","Heartlake High",2013,"Friends","Girls","no subtheme",905,487,"46.5 x 28 x 5 cm",6510,3,4,"Box","Retail",936,79.92,19,49.99,29.93,59.87,5
"589","30166-1","Robin and Redbird Cycle",2013,"DC Comics Super Heroes","Licensed","Batman",29.9,40,"17.1 x 16.2 x 1.5 cm",415.53,1,0,"Polybag","Promotional",1745,15.12,50,4.99,10.13,203.01,5
"590","10235-1","Winter Village Market",2013,"Advanced Models","Model making","Winter Village",1535,1261,"48 x 37.5 x 7 cm",12600,9,4,"Box","Retail - limited",3592,142.31,133,99.99,42.32,42.32,5
"591","40005-1","Bunny",2010,"Seasonal","Miscellaneous","Easter",119,81,"14 x 12 x 6 cm",1008,0,1,"Box","LEGO exclusive",234,14.37,28,9.99,4.38,43.84,8
"592","3429-1","Ultimate Defense",2003,"Sports","Modern day","Basketball",266,82,"19 x 19 x 5.9 cm",2129.9,2,3,"Box","Retail",166,22.35,8,15,7.35,49,15
"593","21120-1","The Snow Hideout",2015,"Minecraft","Licensed","Minifig-scale",644,327,"28 x 26 x 7.5 cm",5460,3,2,"Box","Retail",758,35.95,33,39.99,-4.04,-10.1,3
"594","3832-1","The Emergency Room",2008,"SpongeBob SquarePants","Licensed","no subtheme",610,236,"38.3 x 28.4 x 5.8 cm",6308.776,3,1,"Box","Retail",787,74.01,15,29.99,44.02,146.78,10
"595","3701-1","Charlie Cat the fisherman",1982,"Fabuland","Junior","no subtheme",21,2,"9.5 x 16.1 x 3.4 cm",520.03,1,0,"{Not specified}","{Not specified}",76,11.88,0,1.5,10.38,692,36
"596","40124-1","Winter Fun",2015,"Seasonal","Miscellaneous","Christmas",135,107,"14 x 12.1 x 6 cm",1016.4,2,2,"Box","LEGO exclusive",903,15.05,138,9.99,5.06,50.65,3
"597","31040-1","Desert Racers",2016,"Creator","Basic","no subtheme",70,65,"12 x 9 x 4.5 cm",486,0,2,"Box","Retail",317,7.5,10,4.99,2.51,50.3,2
"598","41006-1","Downtown Bakery",2013,"Friends","Girls","no subtheme",507,253,"27 x 25.8 x 5.5 cm",3831.3,2,2,"Box","Retail",899,31.26,25,29.99,1.27,4.23,5
"599","10236-1","Ewok Village",2013,"Star Wars","Licensed","Ultimate Collector Series",3031,1990,"58 x 48 x 9 cm",25056,17,6,"Box","LEGO exclusive",6193,291.04,232,249.99,41.05,16.42,5
"600","30167-1","Iron Man vs. Fighting Drone",2013,"Marvel Super Heroes","Licensed","Avengers",16.55,24,"17 x 16.5 x 1.5 cm",420.75,1,2,"Polybag","Retail - limited",1527,11.63,109,4.99,6.64,133.07,5
